genotype,days,seed area
wildtype,four ,64989.608
wildtype,four ,64970.385
wildtype,four ,72572.251
wildtype,four ,71438.616
wildtype,four ,70183.518
wildtype,four ,40793.271
wildtype,four ,72070.686
wildtype,four ,79267.191
wildtype,four ,72181.487
wildtype,four ,71633.367
wildtype,four ,65507.031
wildtype,four ,59988.136
wildtype,four ,71813.971
wildtype,four ,74455.454
wildtype,four ,71227.075
wildtype,four ,82904.114
wildtype,four ,79269.654
wildtype,four ,79507.596
wildtype,four ,74940.68
wildtype,four ,78031.105
ahk2,four ,
ahk2,four ,
ahk2,four ,
ahk2,four ,
ahk2,four ,
ahk2,four ,
ahk2,four ,
ahk2,four ,
ahk2,four ,
ahk2,four ,
ahk2,four ,
ahk2,four ,
ahk2,four ,
ahk2,four ,
ahk2,four ,
ahk3,four ,36863.2
ahk3,four ,35289.844
ahk3,four ,52828.425
ahk3,four ,46314.749
ahk3,four ,44467.078
ahk3,four ,41709.207
ahk3,four ,45498.321
ahk3,four ,43863.452
ahk3,four ,33515.85
ahk3,four ,41866.113
ahk3,four ,25038.355
ahk3,four ,32058.491
ahk3,four ,41866.203
ahk3,four ,51179.529
ahk3,four ,56342.622
ahk4,four ,56847.221
ahk4,four ,66663.463
ahk4,four ,68073.725
ahk4,four ,63447.429
ahk4,four ,59590.434
ahk4,four ,53126.919
ahk4,four ,55041.539
ahk4,four ,64913.377
ahk4,four ,48689.906
ahk4,four ,57400.327
ahk4,four ,46504.244
ahk4,four ,55828.503
ahk4,four ,58675.489
ahk4,four ,66530.165
ahk4,four ,73464.279
ahk4,four ,68135.629
ahk4,four ,58931.483
ahk4,four ,64938.006
ahk4,four ,68797.073
ahk4,four ,44738.21
wildtype,six,131257.307
wildtype,six,126902.611
wildtype,six,137518.334
wildtype,six,140559.393
wildtype,six,138052.22
wildtype,six,147663.585
wildtype,six,148664.754
wildtype,six,128114.571
wildtype,six,141278.209
wildtype,six,142814.681
wildtype,six,135576.93
wildtype,six,154154.887
wildtype,six,126527.438
wildtype,six,131218.337
wildtype,six,113419.421
wildtype,six,150242.321
wildtype,six,170228.505
wildtype,six,135964.502
wildtype,six,135471.711
wildtype,six,155465.689
ahk2,six,141602.012
ahk2,six,152199.313
ahk2,six,175515.995
ahk2,six,152257.059
ahk2,six,156315.939
ahk2,six,147022.354
ahk2,six,144874.057
ahk2,six,152136.961
ahk2,six,142583.342
ahk2,six,138721.083
ahk2,six,179080.667
ahk2,six,179990.435
ahk2,six,143823.302
ahk2,six,167893.519
ahk2,six,142575.352
ahk2,six,150551.577
ahk2,six,145906.515
ahk2,six,133551.794
ahk2,six,194538.122
ahk2,six,150095.124
ahk3,six,156769.266
ahk3,six,151237.22
ahk3,six,189836.757
ahk3,six,164230.204
ahk3,six,188108.121
ahk3,six,165043.523
ahk3,six,175147.69
ahk3,six,179795.404
ahk3,six,163384.934
ahk3,six,154157.986
ahk3,six,164274.932
ahk3,six,145297.912
ahk3,six,90308.039
ahk3,six,132485.774
ahk3,six,141502.942
ahk3,six,150785.108
ahk3,six,144237.558
ahk3,six,157262.611
ahk3,six,159773.823
ahk3,six,155875.651
ahk4,six,155008.922
ahk4,six,155884.452
ahk4,six,166018.277
ahk4,six,174899.812
ahk4,six,151291.112
ahk4,six,150050.516
ahk4,six,148714.434
ahk4,six,147536.772
ahk4,six,162336.878
ahk4,six,163338.397
ahk4,six,93833.309
ahk4,six,163240.741
ahk4,six,155773.172
ahk4,six,160094.16
ahk4,six,163549.142
ahk4,six,160559.172
ahk4,six,156097.367
ahk4,six,149922.719
ahk4,six,142434.293
ahk4,six,150344.69
